,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,PuntResult,PlayType,Passer,PassAttempt,PassOutcome,PassLength,PassLocation,InterceptionThrown,Interceptor,Rusher,RushAttempt,RunLocation,RunGap,Receiver,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,Season
1165,9/10/15,2015091000,5,2,2,9:30,10,2370,32,NE,29,29,4,52,0,0,PIT,NE,"(9:30) (No Huddle, Shotgun) De.Williams right tackle to NE 28 for 1 yard (J.Sheard).",1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,J.Sheard,1,right,tackle,NA,0,NA,NA,NA,J.Sheard,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1186,9/10/15,2015091000,5,2,3,8:46,9,2326,44,NE,28,28,3,52,0,0,PIT,NE,(8:46) (Shotgun) B.Roethlisberger pass incomplete deep right to A.Brown.,1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Deep,right,0,NA,NA,0,NA,NA,A.Brown,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1208,9/10/15,2015091000,5,2,4,8:43,9,2323,3,NE,28,28,3,52,0,1,PIT,NE,"(8:43) J.Scobee 46 yard field goal is No Good, Wide Right, Center-G.Warren, Holder-J.Berry.",1,0,0,0,NA,NA,NA,0,NA,Field Goal,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,No Good,46,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1228,9/10/15,2015091000,6,2,1,8:38,9,2318,5,NE,36,64,10,14,0,1,NE,PIT,(8:38) T.Brady pass short middle to J.Edelman to PIT 50 for 14 yards (C.Allen).,1,14,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,middle,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,C.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1253,9/10/15,2015091000,6,2,1,8:06,9,2286,32,PIT,50,50,10,14,0,0,NE,PIT,(8:06) D.Lewis up the middle to PIT 50 for no gain (J.Jones; C.Heyward).,1,0,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,middle,NA,NA,0,NA,NA,NA,J.Jones,C.Heyward,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1274,9/10/15,2015091000,6,2,2,7:27,8,2247,39,PIT,50,50,10,32,0,1,NE,PIT,(7:27) (Shotgun) T.Brady pass deep left to D.Amendola ran ob at PIT 32 for 18 yards.,1,18,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Deep,left,0,NA,NA,0,NA,NA,D.Amendola,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1299,9/10/15,2015091000,6,2,1,6:58,7,2218,29,PIT,32,32,10,44,0,1,NE,PIT,(6:58) T.Brady pass short middle to B.Bolden to PIT 20 for 12 yards (M.Mitchell; C.Heyward).,1,12,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,middle,0,NA,NA,0,NA,NA,B.Bolden,1,NA,NA,NA,M.Mitchell,C.Heyward,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1324,9/10/15,2015091000,6,2,1,6:22,7,2182,36,PIT,20,20,10,53,0,0,NE,PIT,(6:22) D.Lewis left guard to PIT 12 for 8 yards (C.Heyward; C.Allen).,1,8,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,left,guard,NA,0,NA,NA,NA,C.Heyward,C.Allen,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1345,9/10/15,2015091000,6,2,2,6:00,6,2160,22,PIT,12,12,2,53,0,0,NE,PIT,(6:00) (No Huddle) D.Lewis up the middle to PIT 11 for 1 yard (C.Allen; J.Harrison).,1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,middle,NA,NA,0,NA,NA,NA,C.Allen,J.Harrison,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1366,9/10/15,2015091000,6,2,3,5:19,6,2119,41,PIT,11,11,1,64,0,1,NE,PIT,(5:19) T.Brady up the middle to PIT 9 for 2 yards (J.Harrison).,1,2,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,T.Brady,1,middle,NA,NA,0,NA,NA,NA,J.Harrison,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1388,9/10/15,2015091000,6,2,1,4:46,5,2086,33,PIT,9,9,9,58,1,0,NE,PIT,(4:46) (Shotgun) T.Brady pass short left to J.Edelman to PIT 6 for 3 yards (W.Gay).,1,3,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,W.Gay,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1413,9/10/15,2015091000,6,2,2,4:06,5,2046,40,PIT,6,6,6,64,1,0,NE,PIT,"(4:06) T.Brady pass short middle to R.Gronkowski for 6 yards, TOUCHDOWN. NE 87-Gronkowski 15th career multi-TD game.",1,6,1,1,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,middle,0,NA,NA,0,NA,NA,R.Gronkowski,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,13,0,13,13,2015
1434,9/10/15,2015091000,6,2,NA,4:01,5,2041,5,PIT,15,15,0,64,0,0,NE,PIT,"S.Gostkowski extra point is GOOD, Center-J.Cardona, Holder-R.Allen.",1,0,1,0,Made,NA,NA,0,NA,Extra Point,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,0,14,14,2015
1450,9/10/15,2015091000,7,2,NA,4:01,5,2041,0,NE,35,35,0,0,0,NA,PIT,NE,S.Gostkowski kicks 70 yards from NE 35 to PIT -5. D.Archer to PIT 17 for 22 yards (N.Ebner).,1,22,0,0,NA,NA,NA,0,NA,Kickoff,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,D.Archer,NA,N.Ebner,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1473,9/10/15,2015091000,7,2,1,3:57,4,2037,4,PIT,17,83,10,-5,0,0,PIT,NE,"(3:57) (Shotgun) B.Roethlisberger pass short right to A.Brown to PIT 22 for 5 yards (M.Butler, T.Brown).",1,5,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,right,0,NA,NA,0,NA,NA,A.Brown,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1498,9/10/15,2015091000,7,2,2,3:20,4,2000,37,PIT,22,78,5,-5,0,0,PIT,NE,"(3:20) (Shotgun) De.Williams right end ran ob at PIT 31 for 9 yards. PENALTY on PIT-C.Wallace, Offensive Holding, 10 yards, enforced at PIT 22 - No Play.",1,9,0,0,NA,NA,NA,0,NA,No Play,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,1,PIT,NA,C.Wallace,10,0,14,-14,14,2015
1536,9/10/15,2015091000,7,2,2,2:51,3,1971,29,PIT,12,88,15,4,0,0,PIT,NE,(2:51) (Shotgun) B.Roethlisberger pass short left to H.Miller to PIT 21 for 9 yards (D.Harmon).,1,9,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,left,0,NA,NA,0,NA,NA,H.Miller,1,NA,NA,NA,D.Harmon,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1562,9/10/15,2015091000,7,2,3,2:13,3,1933,38,PIT,21,79,6,41,0,0,PIT,NE,"(2:13) (Shotgun) B.Roethlisberger pass deep right to A.Brown pushed ob at NE 42 for 37 yards (D.McCourty). PIT 84-Brown 33 straight games with at least 5 Rec and 50 Rec yds, extends his NFL-record.",1,37,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Deep,right,0,NA,NA,0,NA,NA,A.Brown,1,NA,NA,NA,D.McCourty,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1592,9/10/15,2015091000,7,2,NA,2:00,2,1920,13,PIT,21,21,0,41,0,NA,,NA,Two-Minute Warning,1,0,0,0,NA,NA,NA,0,NA,Two Minute Warning,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1609,9/10/15,2015091000,7,2,1,2:00,2,1920,0,NE,42,42,10,48,0,0,PIT,NE,(2:00) (Shotgun) De.Williams left guard to NE 40 for 2 yards (D.Hightower; B.Fletcher).,1,2,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Hightower,1,left,guard,NA,0,NA,NA,NA,D.Hightower,B.Fletcher,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1640,9/10/15,2015091000,7,2,2,1:29,2,1889,31,NE,40,40,8,48,0,0,PIT,NE,"(1:29) (No Huddle, Shotgun) B.Roethlisberger pass short left to De.Williams to NE 35 for 5 yards (D.Hightower).",1,5,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,left,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,D.Hightower,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1664,9/10/15,2015091000,7,2,3,0:53,1,1853,36,NE,35,35,3,48,0,0,PIT,NE,"(:53) (No Huddle, Shotgun) B.Roethlisberger pass incomplete deep right to M.Wheaton.",1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Deep,right,0,NA,NA,0,NA,NA,M.Wheaton,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1686,9/10/15,2015091000,7,2,NA,0:48,1,1848,5,NE,35,35,0,48,0,0,,NA,Timeout #1 by NE at 00:48.,1,0,0,0,NA,NA,NA,0,NA,Timeout,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1704,9/10/15,2015091000,7,2,4,0:48,1,1848,0,NE,35,35,3,52,0,0,PIT,NE,(:48) (Shotgun) B.Roethlisberger pass short middle to D.Heyward-Bey to NE 31 for 4 yards (B.Fletcher; J.Collins).,1,4,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Short,middle,0,NA,NA,0,NA,NA,D.Heyward,1,NA,NA,NA,B.Fletcher,J.Collins,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1729,9/10/15,2015091000,7,2,NA,0:43,1,1843,5,NE,35,35,0,52,0,NA,,NA,Timeout #1 by PIT at 00:43.,1,0,0,0,NA,NA,NA,0,NA,Timeout,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1746,9/10/15,2015091000,7,2,1,0:43,1,1843,0,NE,31,31,10,57,0,0,PIT,NE,(:43) (Shotgun) De.Williams left end to NE 26 for 5 yards (B.Fletcher).,1,5,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,B.Fletcher,1,left,end,NA,0,NA,NA,NA,B.Fletcher,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1767,9/10/15,2015091000,7,2,2,0:19,1,1819,24,NE,26,26,5,57,0,0,PIT,NE,"(:19) (No Huddle, Shotgun) B.Roethlisberger pass incomplete deep left to D.Heyward-Bey.",1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Deep,left,0,NA,NA,0,NA,NA,D.Heyward,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1796,9/10/15,2015091000,7,2,NA,0:13,1,1813,6,NE,26,26,0,57,0,0,,NA,Timeout #2 by PIT at 00:13.,1,0,0,0,NA,NA,NA,0,NA,Timeout,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1813,9/10/15,2015091000,7,2,NA,0:13,1,1813,0,NA,NA,NA,0,57,NA,0,,NA,Timeout #2 by NE at 00:13.,1,0,0,0,NA,NA,NA,0,NA,Timeout,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1830,9/10/15,2015091000,7,2,3,0:13,1,1813,0,NE,26,26,5,57,0,0,PIT,NE,(:13) (Shotgun) B.Roethlisberger pass incomplete short middle to D.Heyward-Bey [R.Ninkovich].,1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Short,middle,0,NA,NA,0,NA,NA,D.Heyward,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,14,-14,14,2015
1852,9/10/15,2015091000,7,2,4,0:07,1,1807,6,NE,26,26,5,57,0,0,PIT,NE,"(:07) J.Scobee 44 yard field goal is GOOD, Center-G.Warren, Holder-J.Berry.",1,0,1,0,NA,NA,NA,0,NA,Field Goal,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,Good,44,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,14,-11,11,2015
1873,9/10/15,2015091000,8,2,NA,0:03,1,1803,4,PIT,35,35,0,0,0,NA,NE,PIT,"J.Scobee kicks 65 yards from PIT 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,NA,Kickoff,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
1889,9/10/15,2015091000,8,2,1,0:03,1,1803,0,NE,20,80,10,-2,0,0,NE,PIT,(:03) T.Brady kneels to NE 18 for -2 yards.,1,-2,0,0,NA,NA,NA,0,NA,QB Kneel,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
1910,9/10/15,2015091000,8,2,NA,0:00,0,1800,3,NE,20,20,0,-2,0,0,,NA,END QUARTER 2,1,0,0,0,NA,NA,NA,0,NA,Quarter End,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015
1926,9/10/15,2015091000,9,3,NA,15:00,15,1800,0,PIT,35,35,0,0,0,NA,NE,PIT,"J.Scobee kicks 65 yards from PIT 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,NA,Kickoff,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
1941,9/10/15,2015091000,9,3,1,15:00,15,1800,0,NE,20,80,10,10,0,1,NE,PIT,(15:00) T.Brady pass short right to J.Edelman to NE 30 for 10 yards (R.Shazier).,1,10,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,right,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,R.Shazier,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
1966,9/10/15,2015091000,9,3,1,14:30,15,1770,30,NE,30,70,10,14,0,0,NE,PIT,(14:30) D.Lewis up the middle to NE 34 for 4 yards (R.Shazier; R.Golden).,1,4,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,middle,NA,NA,0,NA,NA,NA,R.Shazier,R.Golden,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
1987,9/10/15,2015091000,9,3,2,14:06,15,1746,24,NE,34,66,6,15,0,0,NE,PIT,(14:06) B.Bolden right end to NE 35 for 1 yard (R.Shazier).,1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,B.Bolden,1,right,end,NA,0,NA,NA,NA,R.Shazier,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2008,9/10/15,2015091000,9,3,3,13:29,14,1709,37,NE,35,65,5,25,0,1,NE,PIT,(13:29) (Shotgun) T.Brady pass short right to J.Edelman to NE 45 for 10 yards (M.Mitchell).,1,10,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,right,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,M.Mitchell,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2032,9/10/15,2015091000,9,3,1,12:55,13,1675,34,NE,45,55,10,36,0,1,NE,PIT,(12:55) D.Lewis left guard to PIT 44 for 11 yards (W.Allen).,1,11,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,left,guard,NA,0,NA,NA,NA,W.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2053,9/10/15,2015091000,9,3,1,12:18,13,1638,37,PIT,44,44,10,45,0,0,NE,PIT,(12:18) D.Lewis right tackle to PIT 35 for 9 yards (B.Dupree).,1,9,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,right,tackle,NA,0,NA,NA,NA,B.Dupree,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2074,9/10/15,2015091000,9,3,2,11:57,12,1617,21,PIT,35,35,1,51,0,1,NE,PIT,(11:57) (Shotgun) T.Brady pass short left to D.Amendola to PIT 29 for 6 yards (W.Allen).,1,6,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,D.Amendola,1,NA,NA,NA,W.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2099,9/10/15,2015091000,9,3,1,11:22,12,1582,35,PIT,29,29,10,79,0,1,NE,PIT,"(11:22) (Shotgun) T.Brady pass incomplete deep left to J.Edelman. PENALTY on PIT-C.Allen, Defensive Pass Interference, 28 yards, enforced at PIT 29 - No Play.",1,0,0,0,NA,NA,NA,0,NA,No Play,T.Brady,1,Incomplete Pass,Deep,left,0,NA,NA,0,NA,NA,J.Edelman,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,1,PIT,NA,C.Allen,28,14,3,11,11,2015
2132,9/10/15,2015091000,9,3,1,11:17,12,1577,5,PIT,1,1,1,79,1,0,NE,PIT,(11:17) S.Mason reported in as eligible.  B.Bolden right guard to PIT 1 for no gain (R.Shazier).,1,0,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,B.Bolden,1,right,guard,NA,0,NA,NA,NA,R.Shazier,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,14,3,11,11,2015
2155,9/10/15,2015091000,9,3,2,10:43,11,1543,34,PIT,1,1,1,80,1,0,NE,PIT,"(10:43) T.Brady pass short left to S.Chandler for 1 yard, TOUCHDOWN.",1,1,1,1,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,left,0,NA,NA,0,NA,NA,S.Chandler,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,20,3,17,17,2015
2176,9/10/15,2015091000,9,3,NA,10:37,11,1537,6,PIT,15,15,0,80,0,0,NE,PIT,"S.Gostkowski extra point is GOOD, Center-J.Cardona, Holder-R.Allen.",1,0,1,0,Made,NA,NA,0,NA,Extra Point,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,21,3,18,18,2015
2192,9/10/15,2015091000,10,3,NA,10:37,11,1537,0,NE,35,35,0,0,0,NA,PIT,NE,"S.Gostkowski kicks 65 yards from NE 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,NA,Kickoff,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2208,9/10/15,2015091000,10,3,1,10:37,11,1537,0,PIT,20,80,10,28,0,1,PIT,NE,(10:37) De.Williams up the middle to PIT 48 for 28 yards (M.Butler).,1,28,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,M.Butler,1,middle,NA,NA,0,NA,NA,NA,M.Butler,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2229,9/10/15,2015091000,10,3,1,9:58,10,1498,39,PIT,48,52,10,61,0,1,PIT,NE,(9:58) B.Roethlisberger pass deep left to A.Brown to NE 19 for 33 yards (D.Harmon).,1,33,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Deep,left,0,NA,NA,0,NA,NA,A.Brown,1,NA,NA,NA,D.Harmon,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2254,9/10/15,2015091000,10,3,1,9:14,10,1454,44,NE,19,19,10,68,0,0,PIT,NE,(9:14) De.Williams right guard to NE 12 for 7 yards (A.Branch).,1,7,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,A.Branch,1,right,guard,NA,0,NA,NA,NA,A.Branch,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2276,9/10/15,2015091000,10,3,2,8:36,9,1416,38,NE,12,12,3,78,0,1,PIT,NE,(8:36) De.Williams left guard to NE 2 for 10 yards (D.McCourty).,1,10,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.McCourty,1,left,guard,NA,0,NA,NA,NA,D.McCourty,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2297,9/10/15,2015091000,10,3,1,7:58,8,1378,38,NE,2,2,2,79,1,0,PIT,NE,(7:58) De.Williams left guard to NE 1 for 1 yard (D.Harmon; P.Chung).,1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Harmon,1,left,guard,NA,0,NA,NA,NA,D.Harmon,P.Chung,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,3,21,-18,18,2015
2318,9/10/15,2015091000,10,3,NA,7:16,8,1336,42,NE,2,2,0,79,1,0,,NA,Timeout #1 by NE at 07:16.,1,0,0,0,NA,NA,NA,0,NA,Timeout,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2015